experiment_id,hw_part,mode,algorithm,seed,episode,episode_reward,episode_steps,loss_mean,epsilon,win,terminal_state,learning_rate,buffer_size,timestamp
hw3_1_static_basic_dqn,hw3_1,static,BasicDQN,42,0,-14.0,25,0.0,0.99982,1,goal,0.001,25,2026-05-13T06:29:29.694686+00:00
hw3_1_static_basic_dqn,hw3_1,static,BasicDQN,42,1,-12.0,3,0.0,0.99964,0,pit,0.001,28,2026-05-13T06:29:29.696346+00:00
hw3_1_static_basic_dqn,hw3_1,static,BasicDQN,42,2,-37.0,28,0.0,0.99946,0,pit,0.001,56,2026-05-13T06:29:29.697354+00:00
hw3_1_static_basic_dqn,hw3_1,static,BasicDQN,42,3,-15.0,6,0.0,0.99928,0,pit,0.001,62,2026-05-13T06:29:29.697621+00:00
hw3_1_static_basic_dqn,hw3_1,static,BasicDQN,42,4,-50.0,50,0.0,0.9991,0,unknown,0.001,112,2026-05-13T06:29:29.699349+00:00
hw3_1_static_basic_dqn,hw3_1,static,BasicDQN,42,5,-15.0,26,0.0,0.99892,1,goal,0.001,138,2026-05-13T06:29:29.700221+00:00
hw3_1_static_basic_dqn,hw3_1,static,BasicDQN,42,6,-50.0,50,0.0,0.99874,0,unknown,0.001,188,2026-05-13T06:29:29.701989+00:00
hw3_1_static_basic_dqn,hw3_1,static,BasicDQN,42,7,-12.0,3,0.0,0.99856,0,pit,0.001,191,2026-05-13T06:29:29.702210+00:00
hw3_1_static_basic_dqn,hw3_1,static,BasicDQN,42,8,-50.0,50,2.74066,0.99838,0,unknown,0.001,241,2026-05-13T06:29:29.858403+00:00
hw3_1_static_basic_dqn,hw3_1,static,BasicDQN,42,9,-50.0,50,1.447692,0.9982,0,unknown,0.001,291,2026-05-13T06:29:29.986714+00:00
hw3_1_static_basic_dqn,hw3_1,static,BasicDQN,42,10,-31.0,22,0.356828,0.99802,0,pit,0.001,313,2026-05-13T06:29:30.053618+00:00
hw3_1_static_basic_dqn,hw3_1,static,BasicDQN,42,11,-44.0,35,0.128062,0.99784,0,pit,0.001,348,2026-05-13T06:29:30.147818+00:00
hw3_1_static_basic_dqn,hw3_1,static,BasicDQN,42,12,-16.0,7,0.027298,0.99766,0,pit,0.001,355,2026-05-13T06:29:30.166195+00:00
hw3_1_static_basic_dqn,hw3_1,static,BasicDQN,42,13,-21.0,32,0.010008,0.99748,1,goal,0.001,387,2026-05-13T06:29:30.249383+00:00
hw3_1_static_basic_dqn,hw3_1,static,BasicDQN,42,14,-28.0,19,0.004003,0.9973,0,pit,0.001,406,2026-05-13T06:29:30.299482+00:00
hw3_1_static_basic_dqn,hw3_1,static,BasicDQN,42,15,-13.0,4,0.003727,0.99712,0,pit,0.001,410,2026-05-13T06:29:30.309433+00:00
hw3_1_static_basic_dqn,hw3_1,static,BasicDQN,42,16,-11.0,2,0.005668,0.99694,0,pit,0.001,412,2026-05-13T06:29:30.314272+00:00
hw3_1_static_basic_dqn,hw3_1,static,BasicDQN,42,17,-27.0,18,0.002481,0.99676,0,pit,0.001,430,2026-05-13T06:29:30.360458+00:00
hw3_1_static_basic_dqn,hw3_1,static,BasicDQN,42,18,-50.0,50,0.001014,0.99658,0,unknown,0.001,480,2026-05-13T06:29:30.513639+00:00
hw3_1_static_basic_dqn,hw3_1,static,BasicDQN,42,19,-16.0,7,0.00089,0.9964,0,pit,0.001,487,2026-05-13T06:29:30.526611+00:00
hw3_1_static_basic_dqn,hw3_1,static,BasicDQN,42,20,-24.0,15,0.157376,0.99622,0,pit,0.001,502,2026-05-13T06:29:30.558088+00:00
