experiment_id,hw_part,mode,algorithm,seed,episode,episode_reward,episode_steps,loss_mean,epsilon,win,terminal_state,learning_rate,buffer_size,timestamp
hw3_2_player_basic_dqn,hw3_2,player,BasicDQN,42,0,6.0,5,0.0,0.99982,1,goal,0.001,5,2026-05-13T06:54:54.351134+00:00
hw3_2_player_basic_dqn,hw3_2,player,BasicDQN,42,1,-9.0,20,0.0,0.99964,1,goal,0.001,25,2026-05-13T06:54:54.352767+00:00
hw3_2_player_basic_dqn,hw3_2,player,BasicDQN,42,2,-12.0,3,0.0,0.99946,0,pit,0.001,28,2026-05-13T06:54:54.353125+00:00
hw3_2_player_basic_dqn,hw3_2,player,BasicDQN,42,3,-37.0,28,0.0,0.99928,0,pit,0.001,56,2026-05-13T06:54:54.355130+00:00
hw3_2_player_basic_dqn,hw3_2,player,BasicDQN,42,4,-50.0,50,0.0,0.9991,0,unknown,0.001,106,2026-05-13T06:54:54.356858+00:00
hw3_2_player_basic_dqn,hw3_2,player,BasicDQN,42,5,-21.0,32,0.0,0.99892,1,goal,0.001,138,2026-05-13T06:54:54.357977+00:00
hw3_2_player_basic_dqn,hw3_2,player,BasicDQN,42,6,-50.0,50,0.0,0.99874,0,unknown,0.001,188,2026-05-13T06:54:54.359647+00:00
hw3_2_player_basic_dqn,hw3_2,player,BasicDQN,42,7,-50.0,50,2.508447,0.99856,0,unknown,0.001,238,2026-05-13T06:54:54.566142+00:00
hw3_2_player_basic_dqn,hw3_2,player,BasicDQN,42,8,-50.0,50,1.30288,0.99838,0,unknown,0.001,288,2026-05-13T06:54:54.686984+00:00
hw3_2_player_basic_dqn,hw3_2,player,BasicDQN,42,9,3.0,8,0.463287,0.9982,1,goal,0.001,296,2026-05-13T06:54:54.704762+00:00
hw3_2_player_basic_dqn,hw3_2,player,BasicDQN,42,10,-26.0,17,0.30559,0.99802,0,pit,0.001,313,2026-05-13T06:54:54.746660+00:00
hw3_2_player_basic_dqn,hw3_2,player,BasicDQN,42,11,-44.0,35,0.06645,0.99784,0,pit,0.001,348,2026-05-13T06:54:54.826201+00:00
hw3_2_player_basic_dqn,hw3_2,player,BasicDQN,42,12,-16.0,7,0.001858,0.99766,0,pit,0.001,355,2026-05-13T06:54:54.842091+00:00
hw3_2_player_basic_dqn,hw3_2,player,BasicDQN,42,13,7.0,4,0.00226,0.99748,1,goal,0.001,359,2026-05-13T06:54:54.850829+00:00
hw3_2_player_basic_dqn,hw3_2,player,BasicDQN,42,14,-17.0,28,0.001248,0.9973,1,goal,0.001,387,2026-05-13T06:54:54.913549+00:00
hw3_2_player_basic_dqn,hw3_2,player,BasicDQN,42,15,-11.0,22,0.000874,0.99712,1,goal,0.001,409,2026-05-13T06:54:54.964864+00:00
hw3_2_player_basic_dqn,hw3_2,player,BasicDQN,42,16,-30.0,21,0.000799,0.99694,0,pit,0.001,430,2026-05-13T06:54:55.016323+00:00
hw3_2_player_basic_dqn,hw3_2,player,BasicDQN,42,17,-50.0,50,0.000778,0.99676,0,unknown,0.001,480,2026-05-13T06:54:55.133800+00:00
hw3_2_player_basic_dqn,hw3_2,player,BasicDQN,42,18,-11.0,2,0.000772,0.99658,0,pit,0.001,482,2026-05-13T06:54:55.139051+00:00
hw3_2_player_basic_dqn,hw3_2,player,BasicDQN,42,19,-50.0,50,1.549631,0.9964,0,unknown,0.001,532,2026-05-13T06:54:55.250224+00:00
