experiment_id,hw_part,mode,algorithm,seed,episode,episode_reward,episode_steps,loss_mean,epsilon,win,terminal_state,learning_rate,buffer_size,timestamp
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,0,6.0,5,0.0,0.99982,1,goal,0.001,5,2026-05-13T06:58:34.454303+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,1,-9.0,20,0.0,0.99964,1,goal,0.001,25,2026-05-13T06:58:34.455038+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,2,-12.0,3,0.0,0.99946,0,pit,0.001,28,2026-05-13T06:58:34.455244+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,3,-37.0,28,0.0,0.99928,0,pit,0.001,56,2026-05-13T06:58:34.456218+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,4,-50.0,50,0.0,0.9991,0,unknown,0.001,106,2026-05-13T06:58:34.457820+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,5,-21.0,32,0.0,0.99892,1,goal,0.001,138,2026-05-13T06:58:34.458913+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,6,-50.0,50,0.0,0.99874,0,unknown,0.001,188,2026-05-13T06:58:34.460664+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,7,-50.0,50,2.512683,0.99856,0,unknown,0.001,238,2026-05-13T06:58:34.590588+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,8,-50.0,50,1.308721,0.99838,0,unknown,0.001,288,2026-05-13T06:58:34.710371+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,9,3.0,8,0.473352,0.9982,1,goal,0.001,296,2026-05-13T06:58:34.729540+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,10,-26.0,17,0.313575,0.99802,0,pit,0.001,313,2026-05-13T06:58:34.770135+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,11,-44.0,35,0.070612,0.99784,0,pit,0.001,348,2026-05-13T06:58:34.862072+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,12,-16.0,7,0.002867,0.99766,0,pit,0.001,355,2026-05-13T06:58:34.882220+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,13,7.0,4,0.00286,0.99748,1,goal,0.001,359,2026-05-13T06:58:34.892236+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,14,-17.0,28,0.002081,0.9973,1,goal,0.001,387,2026-05-13T06:58:34.966582+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,15,-11.0,22,0.001789,0.99712,1,goal,0.001,409,2026-05-13T06:58:35.025305+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,16,-30.0,21,0.001512,0.99694,0,pit,0.001,430,2026-05-13T06:58:35.085556+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,17,-50.0,50,0.00182,0.99676,0,unknown,0.001,480,2026-05-13T06:58:35.208251+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,18,-11.0,2,0.002786,0.99658,0,pit,0.001,482,2026-05-13T06:58:35.213305+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,19,-50.0,50,1.572966,0.9964,0,unknown,0.001,532,2026-05-13T06:58:35.346870+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,20,-14.0,5,0.886109,0.99622,0,pit,0.001,537,2026-05-13T06:58:35.358839+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,21,-34.0,45,0.454852,0.99604,1,goal,0.001,582,2026-05-13T06:58:35.492528+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,22,-27.0,18,0.151193,0.99586,0,pit,0.001,600,2026-05-13T06:58:35.541487+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,23,-45.0,36,0.032434,0.99568,0,pit,0.001,636,2026-05-13T06:58:35.653125+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,24,-15.0,26,0.006282,0.9955,1,goal,0.001,662,2026-05-13T06:58:35.741551+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,25,-50.0,50,0.003761,0.99532,0,unknown,0.001,712,2026-05-13T06:58:35.928445+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,26,-10.0,1,0.003596,0.99514,0,pit,0.001,713,2026-05-13T06:58:35.932046+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,27,-11.0,2,0.004112,0.99496,0,pit,0.001,715,2026-05-13T06:58:35.937744+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,28,-50.0,50,0.003371,0.99478,0,unknown,0.001,765,2026-05-13T06:58:36.091612+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,29,-9.0,20,0.00343,0.9946,1,goal,0.001,785,2026-05-13T06:58:36.151461+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,30,-18.0,29,0.003214,0.99442,1,goal,0.001,814,2026-05-13T06:58:36.232358+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,31,-25.0,16,0.003218,0.99424,0,pit,0.001,830,2026-05-13T06:58:36.278103+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,32,-50.0,50,0.003175,0.99406,0,unknown,0.001,880,2026-05-13T06:58:36.623676+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,33,-20.0,31,0.003365,0.99388,1,goal,0.001,911,2026-05-13T06:58:36.751750+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,34,-27.0,38,0.003211,0.9937,1,goal,0.001,949,2026-05-13T06:58:36.866051+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,35,9.0,2,0.003046,0.99352,1,goal,0.001,951,2026-05-13T06:58:36.871741+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,36,-50.0,50,0.135647,0.99334,0,unknown,0.001,1000,2026-05-13T06:58:37.072050+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,37,-50.0,50,1.678162,0.99316,0,unknown,0.001,1000,2026-05-13T06:58:37.224347+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,38,-50.0,50,0.066601,0.99298,0,unknown,0.001,1000,2026-05-13T06:58:37.386995+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,39,2.0,9,0.006029,0.9928,1,goal,0.001,1000,2026-05-13T06:58:37.419154+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,40,-49.0,40,0.005251,0.99262,0,pit,0.001,1000,2026-05-13T06:58:37.534111+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,41,-50.0,50,0.005253,0.99244,0,unknown,0.001,1000,2026-05-13T06:58:37.672659+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,42,-50.0,50,0.005248,0.99226,0,unknown,0.001,1000,2026-05-13T06:58:37.806924+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,43,-18.0,9,0.004904,0.99208,0,pit,0.001,1000,2026-05-13T06:58:37.830465+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,44,-20.0,11,0.005002,0.9919,0,pit,0.001,1000,2026-05-13T06:58:37.860807+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,45,7.0,4,0.00534,0.99172,1,goal,0.001,1000,2026-05-13T06:58:37.872716+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,46,-50.0,50,0.005202,0.99154,0,unknown,0.001,1000,2026-05-13T06:58:38.002796+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,47,-27.0,18,0.005009,0.99136,0,pit,0.001,1000,2026-05-13T06:58:38.053989+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,48,-50.0,50,0.004933,0.99118,0,unknown,0.001,1000,2026-05-13T06:58:38.187702+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,49,-11.0,2,0.004691,0.991,0,pit,0.001,1000,2026-05-13T06:58:38.192866+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,50,-21.0,32,0.005053,0.99082,1,goal,0.001,1000,2026-05-13T06:58:38.277732+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,51,5.0,6,0.005009,0.99064,1,goal,0.001,1000,2026-05-13T06:58:38.293707+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,52,10.0,1,0.004343,0.99046,1,goal,0.001,1000,2026-05-13T06:58:38.296856+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,53,-10.0,21,0.005145,0.99028,1,goal,0.001,1000,2026-05-13T06:58:38.350440+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,54,-36.0,47,0.162723,0.9901,1,goal,0.001,1000,2026-05-13T06:58:38.477631+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,55,-53.0,44,2.271848,0.98992,0,pit,0.001,1000,2026-05-13T06:58:38.596239+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,56,9.0,2,0.590876,0.98974,1,goal,0.001,1000,2026-05-13T06:58:38.601332+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,57,-37.0,28,0.513173,0.98956,0,pit,0.001,1000,2026-05-13T06:58:38.671754+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,58,-2.0,13,0.388565,0.98938,1,goal,0.001,1000,2026-05-13T06:58:38.705232+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,59,-50.0,50,0.317971,0.9892,0,unknown,0.001,1000,2026-05-13T06:58:38.833805+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,60,4.0,7,0.263619,0.98902,1,goal,0.001,1000,2026-05-13T06:58:38.852601+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,61,-50.0,50,0.181047,0.98884,0,unknown,0.001,1000,2026-05-13T06:58:38.982027+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,62,9.0,2,0.122617,0.98866,1,goal,0.001,1000,2026-05-13T06:58:38.987283+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,63,-42.0,33,0.09184,0.98848,0,pit,0.001,1000,2026-05-13T06:58:39.079191+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,64,-50.0,50,0.034392,0.9883,0,unknown,0.001,1000,2026-05-13T06:58:39.208978+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,65,-8.0,19,0.014142,0.98812,1,goal,0.001,1000,2026-05-13T06:58:39.258509+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,66,-20.0,31,0.009428,0.98794,1,goal,0.001,1000,2026-05-13T06:58:39.342504+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,67,3.0,8,0.008173,0.98776,1,goal,0.001,1000,2026-05-13T06:58:39.375409+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,68,-50.0,50,0.007543,0.98758,0,unknown,0.001,1000,2026-05-13T06:58:39.556280+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,69,1.0,10,0.007206,0.9874,1,goal,0.001,1000,2026-05-13T06:58:39.592844+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,70,-29.0,40,0.00686,0.98722,1,goal,0.001,1000,2026-05-13T06:58:39.710014+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,71,-10.0,21,0.006442,0.98704,1,goal,0.001,1000,2026-05-13T06:58:39.765101+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,72,-50.0,50,0.984272,0.98686,0,unknown,0.001,1000,2026-05-13T06:58:39.911921+00:00
hw3_2_player_double_dqn,hw3_2,player,DoubleDQN,42,73,-7.0,18,2.058862,0.98668,1,goal,0.001,1000,2026-05-13T06:58:39.962596+00:00
