experiment_id,hw_part,mode,algorithm,seed,episode,episode_reward,episode_steps,loss_mean,epsilon,win,terminal_state,learning_rate,buffer_size,timestamp
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,1,5.0,6,0.0,0.999002,1,unknown,0.001,6,2026-05-13T07:45:34.463996+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,2,7.0,4,0.0,0.998005,1,unknown,0.001,10,2026-05-13T07:45:34.464274+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,3,9.0,2,0.0,0.997009,1,unknown,0.001,12,2026-05-13T07:45:34.464439+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,4,3.0,8,0.0,0.996014,1,unknown,0.001,20,2026-05-13T07:45:34.464744+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,5,-50.0,50,0.0,0.99502,0,unknown,0.001,70,2026-05-13T07:45:34.466365+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,6,-50.0,50,0.0,0.994026,0,unknown,0.001,120,2026-05-13T07:45:34.468272+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,7,-10.0,1,0.0,0.993034,0,unknown,0.001,121,2026-05-13T07:45:34.468505+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,8,5.0,6,0.0,0.992043,1,unknown,0.001,127,2026-05-13T07:45:34.468913+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,9,-24.0,15,0.0,0.991053,0,unknown,0.001,142,2026-05-13T07:45:34.469612+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,10,-23.0,14,0.0,0.990064,0,unknown,0.001,156,2026-05-13T07:45:34.470280+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,11,-6.0,17,0.0,0.989076,1,unknown,0.001,173,2026-05-13T07:45:34.471072+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,12,5.0,6,0.0,0.988089,1,unknown,0.001,179,2026-05-13T07:45:34.471417+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,13,-5.0,16,0.0,0.987102,1,unknown,0.001,195,2026-05-13T07:45:34.472405+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,14,-14.0,5,6.877176,0.986117,0,unknown,0.001,200,2026-05-13T07:45:34.485878+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,15,-11.0,22,6.06975,0.985133,1,unknown,0.001,222,2026-05-13T07:45:34.561749+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,16,-17.0,8,5.70257,0.98415,0,unknown,0.001,230,2026-05-13T07:45:34.596828+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,17,-17.0,8,5.782437,0.983167,0,unknown,0.001,238,2026-05-13T07:45:34.642991+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,18,-10.0,1,5.944077,0.982186,0,unknown,0.001,239,2026-05-13T07:45:34.647939+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,19,-20.0,11,4.947733,0.981206,0,unknown,0.001,250,2026-05-13T07:45:34.704007+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,20,-15.0,6,4.83548,0.980227,0,unknown,0.001,256,2026-05-13T07:45:34.727409+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,21,3.0,8,4.191618,0.979248,1,unknown,0.001,264,2026-05-13T07:45:34.762627+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,22,9.0,2,3.45982,0.978271,1,unknown,0.001,266,2026-05-13T07:45:34.769984+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,23,-25.0,16,3.78827,0.977294,0,unknown,0.001,282,2026-05-13T07:45:34.815884+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,24,6.0,5,3.25729,0.976319,1,unknown,0.001,287,2026-05-13T07:45:34.828118+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,25,-50.0,50,1.999303,0.975345,0,unknown,0.001,337,2026-05-13T07:45:34.951891+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,26,-19.0,30,0.920261,0.974371,1,unknown,0.001,367,2026-05-13T07:45:35.024991+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,27,-31.0,22,0.708724,0.973399,0,unknown,0.001,389,2026-05-13T07:45:35.079968+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,28,-8.0,19,0.696841,0.972427,1,unknown,0.001,408,2026-05-13T07:45:35.121563+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,29,-3.0,14,1.002333,0.971457,1,unknown,0.001,422,2026-05-13T07:45:35.153469+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,30,-31.0,22,0.770083,0.970487,0,unknown,0.001,444,2026-05-13T07:45:35.204272+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,31,-10.0,1,0.463038,0.969518,0,unknown,0.001,445,2026-05-13T07:45:35.206485+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,32,-7.0,18,1.017652,0.968551,1,unknown,0.001,463,2026-05-13T07:45:35.247044+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,33,-27.0,18,1.137844,0.967584,0,unknown,0.001,481,2026-05-13T07:45:35.309605+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,34,-15.0,6,0.992394,0.966618,0,unknown,0.001,487,2026-05-13T07:45:35.331560+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,35,-50.0,50,0.716996,0.965653,0,unknown,0.001,537,2026-05-13T07:45:35.475517+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,36,-26.0,17,0.432194,0.96469,0,unknown,0.001,554,2026-05-13T07:45:35.519305+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,37,3.0,8,0.556527,0.963727,1,unknown,0.001,562,2026-05-13T07:45:35.538597+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,38,-7.0,18,0.718041,0.962765,1,unknown,0.001,580,2026-05-13T07:45:35.581325+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,39,1.0,10,1.083118,0.961804,1,unknown,0.001,590,2026-05-13T07:45:35.609862+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,40,-28.0,19,1.066294,0.960844,0,unknown,0.001,609,2026-05-13T07:45:35.656261+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,41,-23.0,14,0.675796,0.959885,0,unknown,0.001,623,2026-05-13T07:45:35.689463+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,42,-22.0,13,0.639335,0.958927,0,unknown,0.001,636,2026-05-13T07:45:35.723735+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,43,-31.0,22,0.557257,0.95797,0,unknown,0.001,658,2026-05-13T07:45:35.797083+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,44,7.0,4,0.801869,0.957014,1,unknown,0.001,662,2026-05-13T07:45:35.810881+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,45,-25.0,36,0.593013,0.956059,1,unknown,0.001,698,2026-05-13T07:45:35.916715+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,46,7.0,4,4.075649,0.955104,1,unknown,0.001,702,2026-05-13T07:45:35.926631+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,47,7.0,4,5.02409,0.954151,1,unknown,0.001,706,2026-05-13T07:45:35.936946+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,48,-16.0,7,4.414446,0.953199,0,unknown,0.001,713,2026-05-13T07:45:35.952890+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,49,-15.0,6,4.059402,0.952248,0,unknown,0.001,719,2026-05-13T07:45:35.968120+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,50,-1.0,12,2.650463,0.951297,1,unknown,0.001,731,2026-05-13T07:45:35.997182+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,51,-18.0,9,1.992816,0.950348,0,unknown,0.001,740,2026-05-13T07:45:36.028734+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,52,-50.0,50,1.196279,0.949399,0,unknown,0.001,790,2026-05-13T07:45:36.189325+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,53,-24.0,15,0.791443,0.948452,0,unknown,0.001,805,2026-05-13T07:45:36.228112+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,54,10.0,1,0.607162,0.947505,1,unknown,0.001,806,2026-05-13T07:45:36.231272+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,55,-16.0,27,0.642724,0.946559,1,unknown,0.001,833,2026-05-13T07:45:36.309247+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,56,-26.0,17,0.556625,0.945614,0,unknown,0.001,850,2026-05-13T07:45:36.370081+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,57,-18.0,9,0.581526,0.944671,0,unknown,0.001,859,2026-05-13T07:45:36.402531+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,58,-33.0,24,0.499486,0.943728,0,unknown,0.001,883,2026-05-13T07:45:36.459120+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,59,-17.0,8,0.773045,0.942786,0,unknown,0.001,891,2026-05-13T07:45:36.477586+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,60,-18.0,9,0.807698,0.941845,0,unknown,0.001,900,2026-05-13T07:45:36.500068+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,61,-12.0,3,1.047107,0.940905,0,unknown,0.001,903,2026-05-13T07:45:36.508437+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,62,1.0,10,0.948213,0.939966,1,unknown,0.001,913,2026-05-13T07:45:36.536887+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,63,5.0,6,0.597255,0.939028,1,unknown,0.001,919,2026-05-13T07:45:36.550826+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,64,-50.0,50,0.753347,0.93809,0,unknown,0.001,969,2026-05-13T07:45:36.669386+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,65,-23.0,14,0.542932,0.937154,0,unknown,0.001,983,2026-05-13T07:45:36.702968+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,66,6.0,5,0.723543,0.936219,1,unknown,0.001,988,2026-05-13T07:45:36.714885+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,67,-30.0,41,0.454222,0.935284,1,unknown,0.001,1000,2026-05-13T07:45:36.818738+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,68,-11.0,2,0.26518,0.934351,0,unknown,0.001,1000,2026-05-13T07:45:36.823435+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,69,-28.0,39,0.31365,0.933418,1,unknown,0.001,1000,2026-05-13T07:45:36.918305+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,70,-17.0,8,0.453602,0.932487,0,unknown,0.001,1000,2026-05-13T07:45:36.937561+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,71,-12.0,3,0.771077,0.931556,0,unknown,0.001,1000,2026-05-13T07:45:36.944660+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,72,-12.0,3,0.624145,0.930626,0,unknown,0.001,1000,2026-05-13T07:45:36.952102+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,73,-44.0,35,0.496955,0.929697,0,unknown,0.001,1000,2026-05-13T07:45:37.042325+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,74,-10.0,1,0.253449,0.928769,0,unknown,0.001,1000,2026-05-13T07:45:37.044747+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,75,-47.0,38,0.471203,0.927842,0,unknown,0.001,1000,2026-05-13T07:45:37.134353+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,76,-16.0,27,0.404771,0.926916,1,unknown,0.001,1000,2026-05-13T07:45:37.195777+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,77,-10.0,1,0.563405,0.925991,0,unknown,0.001,1000,2026-05-13T07:45:37.198057+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,78,-16.0,7,0.33055,0.925067,0,unknown,0.001,1000,2026-05-13T07:45:37.215248+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,79,-12.0,3,0.679085,0.924144,0,unknown,0.001,1000,2026-05-13T07:45:37.221878+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,80,-9.0,20,2.624126,0.923221,1,unknown,0.0009,1000,2026-05-13T07:45:37.273097+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,81,-20.0,11,2.122023,0.9223,0,unknown,0.0009,1000,2026-05-13T07:45:37.306784+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,82,-25.0,16,1.479022,0.921379,0,unknown,0.0009,1000,2026-05-13T07:45:37.343384+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,83,-32.0,43,1.014003,0.92046,1,unknown,0.0009,1000,2026-05-13T07:45:37.443786+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,84,-41.0,32,0.747176,0.919541,0,unknown,0.0009,1000,2026-05-13T07:45:37.518301+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,85,-26.0,37,0.43257,0.918623,1,unknown,0.0009,1000,2026-05-13T07:45:37.610136+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,86,1.0,10,0.668525,0.917706,1,unknown,0.0009,1000,2026-05-13T07:45:37.642004+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,87,-24.0,15,0.671163,0.916791,0,unknown,0.0009,1000,2026-05-13T07:45:37.678822+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,88,-10.0,1,0.680527,0.915876,0,unknown,0.0009,1000,2026-05-13T07:45:37.681631+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,89,7.0,4,0.607249,0.914961,1,unknown,0.0009,1000,2026-05-13T07:45:37.691951+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,90,-18.0,9,0.496765,0.914048,0,unknown,0.0009,1000,2026-05-13T07:45:37.713634+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,91,6.0,5,0.397997,0.913136,1,unknown,0.0009,1000,2026-05-13T07:45:37.724951+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,92,-1.0,12,0.550448,0.912225,1,unknown,0.0009,1000,2026-05-13T07:45:37.755635+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,93,-35.0,26,0.364821,0.911314,0,unknown,0.0009,1000,2026-05-13T07:45:37.814396+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,94,-12.0,3,0.34219,0.910404,0,unknown,0.0009,1000,2026-05-13T07:45:37.821146+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,95,-34.0,45,0.365556,0.909496,1,unknown,0.0009,1000,2026-05-13T07:45:37.932132+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,96,-28.0,19,0.299831,0.908588,0,unknown,0.0009,1000,2026-05-13T07:45:37.977881+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,97,-24.0,15,0.828451,0.907681,0,unknown,0.0009,1000,2026-05-13T07:45:38.015222+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,98,-35.0,26,0.820339,0.906775,0,unknown,0.0009,1000,2026-05-13T07:45:38.084125+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,99,10.0,1,1.506933,0.90587,1,unknown,0.0009,1000,2026-05-13T07:45:38.086965+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,100,-46.0,37,0.467707,0.904966,0,unknown,0.0009,1000,2026-05-13T07:45:38.179455+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,101,-3.0,14,0.614329,0.904063,1,unknown,0.0009,1000,2026-05-13T07:45:38.217673+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,102,-39.0,30,0.706656,0.903161,0,unknown,0.0009,1000,2026-05-13T07:45:38.291629+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,103,4.0,7,0.433158,0.902259,1,unknown,0.0009,1000,2026-05-13T07:45:38.314402+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,104,-3.0,14,0.650951,0.901359,1,unknown,0.0009,1000,2026-05-13T07:45:38.349938+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,105,-13.0,4,0.309923,0.900459,0,unknown,0.0009,1000,2026-05-13T07:45:38.359119+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,106,3.0,8,0.46985,0.89956,1,unknown,0.0009,1000,2026-05-13T07:45:38.377877+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,107,7.0,4,0.629053,0.898662,1,unknown,0.0009,1000,2026-05-13T07:45:38.387760+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,108,7.0,4,1.041982,0.897766,1,unknown,0.0009,1000,2026-05-13T07:45:38.396873+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,109,10.0,1,0.502049,0.896869,1,unknown,0.0009,1000,2026-05-13T07:45:38.399532+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,110,-1.0,12,0.633015,0.895974,1,unknown,0.0009,1000,2026-05-13T07:45:38.429480+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,111,-15.0,6,0.597804,0.89508,0,unknown,0.0009,1000,2026-05-13T07:45:38.444938+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,112,9.0,2,0.424751,0.894187,1,unknown,0.0009,1000,2026-05-13T07:45:38.449819+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,113,-5.0,16,1.350865,0.893294,1,unknown,0.0009,1000,2026-05-13T07:45:38.487975+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,114,0.0,11,2.387701,0.892403,1,unknown,0.0009,1000,2026-05-13T07:45:38.513308+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,115,3.0,8,1.572318,0.891512,1,unknown,0.0009,1000,2026-05-13T07:45:38.531618+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,116,-5.0,16,1.182886,0.890622,1,unknown,0.0009,1000,2026-05-13T07:45:38.567980+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,117,-14.0,5,1.061256,0.889733,0,unknown,0.0009,1000,2026-05-13T07:45:38.579320+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,118,-42.0,33,0.870345,0.888845,0,unknown,0.0009,1000,2026-05-13T07:45:38.662687+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,119,-4.0,15,1.141469,0.887958,1,unknown,0.0009,1000,2026-05-13T07:45:38.697475+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,120,6.0,5,1.19114,0.887072,1,unknown,0.0009,1000,2026-05-13T07:45:38.710519+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,121,8.0,3,1.002809,0.886186,1,unknown,0.0009,1000,2026-05-13T07:45:38.717558+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,122,-20.0,11,0.960328,0.885302,0,unknown,0.0009,1000,2026-05-13T07:45:38.744069+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,123,-4.0,15,0.601475,0.884418,1,unknown,0.0009,1000,2026-05-13T07:45:38.778612+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,124,10.0,1,0.567656,0.883536,1,unknown,0.0009,1000,2026-05-13T07:45:38.781019+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,125,-2.0,13,0.548813,0.882654,1,unknown,0.0009,1000,2026-05-13T07:45:38.810911+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,126,-10.0,21,0.625557,0.881773,1,unknown,0.0009,1000,2026-05-13T07:45:38.859497+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,127,9.0,2,0.500347,0.880893,1,unknown,0.0009,1000,2026-05-13T07:45:38.864934+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,128,-25.0,16,0.41516,0.880014,0,unknown,0.0009,1000,2026-05-13T07:45:38.905806+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,129,-16.0,27,0.438693,0.879135,1,unknown,0.0009,1000,2026-05-13T07:45:38.970811+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,130,-38.0,49,0.26118,0.878258,1,unknown,0.0009,1000,2026-05-13T07:45:39.090320+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,131,0.0,11,0.190684,0.877381,1,unknown,0.0009,1000,2026-05-13T07:45:39.118929+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,132,6.0,5,0.163494,0.876506,1,unknown,0.0009,1000,2026-05-13T07:45:39.132281+00:00
hw3_3_random_e2_stabilized,hw3_3,random,StabilizedDQN,42,133,-8.0,19,0.271354,0.875631,1,unknown,0.0009,1000,2026-05-13T07:45:39.176191+00:00
