experiment_id,hw_part,mode,algorithm,seed,episode,episode_reward,episode_steps,loss_mean,epsilon,win,terminal_state,learning_rate,buffer_size,timestamp
hw3_3_random_e3_per_stabilized,hw3_3,random,PER_DQN_Stabilized,42,1,5.0,6,0.0,0.999002,1,unknown,0.001,6,2026-05-13T07:48:15.756168+00:00
hw3_3_random_e3_per_stabilized,hw3_3,random,PER_DQN_Stabilized,42,2,7.0,4,0.0,0.998005,1,unknown,0.001,10,2026-05-13T07:48:15.756583+00:00
hw3_3_random_e3_per_stabilized,hw3_3,random,PER_DQN_Stabilized,42,3,9.0,2,0.0,0.997009,1,unknown,0.001,12,2026-05-13T07:48:15.756796+00:00
hw3_3_random_e3_per_stabilized,hw3_3,random,PER_DQN_Stabilized,42,4,3.0,8,0.0,0.996014,1,unknown,0.001,20,2026-05-13T07:48:15.757216+00:00
hw3_3_random_e3_per_stabilized,hw3_3,random,PER_DQN_Stabilized,42,5,-50.0,50,0.0,0.99502,0,unknown,0.001,70,2026-05-13T07:48:15.759418+00:00
hw3_3_random_e3_per_stabilized,hw3_3,random,PER_DQN_Stabilized,42,6,-50.0,50,0.0,0.994026,0,unknown,0.001,120,2026-05-13T07:48:15.761379+00:00
hw3_3_random_e3_per_stabilized,hw3_3,random,PER_DQN_Stabilized,42,7,-10.0,1,0.0,0.993034,0,unknown,0.001,121,2026-05-13T07:48:15.761582+00:00
hw3_3_random_e3_per_stabilized,hw3_3,random,PER_DQN_Stabilized,42,8,5.0,6,0.0,0.992043,1,unknown,0.001,127,2026-05-13T07:48:15.761945+00:00
hw3_3_random_e3_per_stabilized,hw3_3,random,PER_DQN_Stabilized,42,9,-24.0,15,0.0,0.991053,0,unknown,0.001,142,2026-05-13T07:48:15.762603+00:00
hw3_3_random_e3_per_stabilized,hw3_3,random,PER_DQN_Stabilized,42,10,-23.0,14,0.0,0.990064,0,unknown,0.001,156,2026-05-13T07:48:15.763270+00:00
hw3_3_random_e3_per_stabilized,hw3_3,random,PER_DQN_Stabilized,42,11,-6.0,17,0.0,0.989076,1,unknown,0.001,173,2026-05-13T07:48:15.764010+00:00
hw3_3_random_e3_per_stabilized,hw3_3,random,PER_DQN_Stabilized,42,12,5.0,6,0.0,0.988089,1,unknown,0.001,179,2026-05-13T07:48:15.764339+00:00
