experiment_id,hw_part,mode,algorithm,seed,episode,episode_reward,episode_steps,loss_mean,epsilon,win,terminal_state,learning_rate,buffer_size,timestamp
hw3_3_random_e4_rainbow_bonus,hw3_3,random,Rainbow_DQN_Bonus,42,1,10.0,1,0.0,0.0,1,unknown,0.0003,1,2026-05-13T08:27:38.995239+00:00
hw3_3_random_e4_rainbow_bonus,hw3_3,random,Rainbow_DQN_Bonus,42,2,-47.0,38,0.0,0.0,0,unknown,0.0003,40,2026-05-13T08:27:39.031186+00:00
hw3_3_random_e4_rainbow_bonus,hw3_3,random,Rainbow_DQN_Bonus,42,3,2.0,9,0.0,0.0,1,unknown,0.0003,50,2026-05-13T08:27:39.108832+00:00
hw3_3_random_e4_rainbow_bonus,hw3_3,random,Rainbow_DQN_Bonus,42,4,-50.0,50,0.0,0.0,0,unknown,0.0003,101,2026-05-13T08:27:39.185444+00:00
hw3_3_random_e4_rainbow_bonus,hw3_3,random,Rainbow_DQN_Bonus,42,5,-50.0,50,0.0,0.0,0,unknown,0.0003,152,2026-05-13T08:27:39.254786+00:00
hw3_3_random_e4_rainbow_bonus,hw3_3,random,Rainbow_DQN_Bonus,42,6,-50.0,50,3.930828,0.0,0,unknown,0.0003,203,2026-05-13T08:27:39.472199+00:00
hw3_3_random_e4_rainbow_bonus,hw3_3,random,Rainbow_DQN_Bonus,42,7,-37.0,48,3.497493,0.0,1,unknown,0.0003,252,2026-05-13T08:27:40.044780+00:00
hw3_3_random_e4_rainbow_bonus,hw3_3,random,Rainbow_DQN_Bonus,42,8,-50.0,50,3.464728,0.0,0,unknown,0.0003,303,2026-05-13T08:27:40.579085+00:00
hw3_3_random_e4_rainbow_bonus,hw3_3,random,Rainbow_DQN_Bonus,42,9,-50.0,50,3.397238,0.0,0,unknown,0.0003,354,2026-05-13T08:27:41.097207+00:00
hw3_3_random_e4_rainbow_bonus,hw3_3,random,Rainbow_DQN_Bonus,42,10,-50.0,50,3.404079,0.0,0,unknown,0.0003,405,2026-05-13T08:27:41.719087+00:00
hw3_3_random_e4_rainbow_bonus,hw3_3,random,Rainbow_DQN_Bonus,42,11,-50.0,50,3.382854,0.0,0,unknown,0.0003,456,2026-05-13T08:27:42.259074+00:00
